question,answer
2 + 13 =,15
13 + 2 =,15
2 + 14 =,16
14 + 2 =,16
2 + 15 =,17
15 + 2 =,17
2 + 16 =,18
16 + 2 =,18
2 + 17 =,19
17 + 2 =,19
2 + 18 =,20
18 + 2 =,20
2 + 19 =,21
19 + 2 =,21
2 + 20 =,22
20 + 2 =,22
3 + 0 =,3
0 + 3 =,3
3 + 1 =,4
1 + 3 =,4
3 + 2 =,5
2 + 3 =,5
3 + 3 =,6
3 + 3 =,6
3 + 4 =,7
4 + 3 =,7
3 + 5 =,8
5 + 3 =,8
3 + 6 =,9
6 + 3 =,9
3 + 7 =,10
7 + 3 =,10
3 + 8 =,11
8 + 3 =,11
3 + 9 =,12
9 + 3 =,12
3 + 10 =,13
10 + 3 =,13
3 + 11 =,14
11 + 3 =,14
3 + 12 =,15
12 + 3 =,15
3 + 13 =,16
13 + 3 =,16
3 + 14 =,17
14 + 3 =,17
3 + 15 =,18
15 + 3 =,18
3 + 16 =,19
16 + 3 =,19
3 + 17 =,20
17 + 3 =,20
3 + 18 =,21
18 + 3 =,21
3 + 19 =,22
19 + 3 =,22
3 + 20 =,23
20 + 3 =,23
4 + 0 =,4
0 + 4 =,4
4 + 1 =,5
1 + 4 =,5
4 + 2 =,6
2 + 4 =,6
4 + 3 =,7
3 + 4 =,7
4 + 4 =,8
4 + 4 =,8
4 + 5 =,9
5 + 4 =,9
4 + 6 =,10
6 + 4 =,10
4 + 7 =,11
7 + 4 =,11
4 + 8 =,12
8 + 4 =,12
4 + 9 =,13
9 + 4 =,13
4 + 10 =,14
10 + 4 =,14
4 + 11 =,15
11 + 4 =,15
4 + 12 =,16
12 + 4 =,16
4 + 13 =,17
13 + 4 =,17
4 + 14 =,18
14 + 4 =,18
4 + 15 =,19
15 + 4 =,19
4 + 16 =,20
16 + 4 =,20
4 + 17 =,21
17 + 4 =,21
4 + 18 =,22
18 + 4 =,22
4 + 19 =,23
19 + 4 =,23
4 + 20 =,24
20 + 4 =,24
5 + 0 =,5
0 + 5 =,5
5 + 1 =,6
1 + 5 =,6
5 + 2 =,7
2 + 5 =,7
5 + 3 =,8
3 + 5 =,8
5 + 4 =,9
4 + 5 =,9
5 + 5 =,10
5 + 5 =,10
5 + 6 =,11
6 + 5 =,11
5 + 7 =,12
7 + 5 =,12
5 + 8 =,13
8 + 5 =,13
5 + 9 =,14
9 + 5 =,14
5 + 10 =,15
10 + 5 =,15
5 + 11 =,16
11 + 5 =,16
5 + 12 =,17
12 + 5 =,17
5 + 13 =,18
13 + 5 =,18
5 + 14 =,19
14 + 5 =,19
5 + 15 =,20
15 + 5 =,20
5 + 16 =,21
16 + 5 =,21
5 + 17 =,22
17 + 5 =,22
5 + 18 =,23
18 + 5 =,23
5 + 19 =,24
19 + 5 =,24
5 + 20 =,25
20 + 5 =,25
6 + 0 =,6
0 + 6 =,6
6 + 1 =,7
1 + 6 =,7
6 + 2 =,8
2 + 6 =,8
6 + 3 =,9
3 + 6 =,9
6 + 4 =,10
4 + 6 =,10
6 + 5 =,11
5 + 6 =,11
6 + 6 =,12
6 + 6 =,12
6 + 7 =,13
7 + 6 =,13
6 + 8 =,14
8 + 6 =,14
6 + 9 =,15
9 + 6 =,15
6 + 10 =,16
10 + 6 =,16
6 + 11 =,17
11 + 6 =,17
6 + 12 =,18
12 + 6 =,18
6 + 13 =,19
13 + 6 =,19
6 + 14 =,20
14 + 6 =,20
6 + 15 =,21
15 + 6 =,21
6 + 16 =,22
16 + 6 =,22
6 + 17 =,23
17 + 6 =,23
6 + 18 =,24
18 + 6 =,24
6 + 19 =,25
19 + 6 =,25
6 + 20 =,26
20 + 6 =,26
7 + 0 =,7
0 + 7 =,7
7 + 1 =,8
1 + 7 =,8
7 + 2 =,9
2 + 7 =,9
7 + 3 =,10
3 + 7 =,10
7 + 4 =,11
4 + 7 =,11
7 + 5 =,12
5 + 7 =,12
7 + 6 =,13
6 + 7 =,13
7 + 7 =,14
7 + 7 =,14
7 + 8 =,15
8 + 7 =,15
7 + 9 =,16
9 + 7 =,16
7 + 10 =,17
10 + 7 =,17
7 + 11 =,18
11 + 7 =,18
7 + 12 =,19
12 + 7 =,19
7 + 13 =,20
13 + 7 =,20
7 + 14 =,21
14 + 7 =,21
7 + 15 =,22
15 + 7 =,22
7 + 16 =,23
16 + 7 =,23
7 + 17 =,24
17 + 7 =,24
7 + 18 =,25
18 + 7 =,25
7 + 19 =,26
19 + 7 =,26
7 + 20 =,27
20 + 7 =,27
8 + 0 =,8
0 + 8 =,8
8 + 1 =,9
1 + 8 =,9
8 + 2 =,10
2 + 8 =,10
8 + 3 =,11
3 + 8 =,11
8 + 4 =,12
4 + 8 =,12
8 + 5 =,13
5 + 8 =,13
8 + 6 =,14
6 + 8 =,14
8 + 7 =,15
7 + 8 =,15
8 + 8 =,16
8 + 8 =,16
8 + 9 =,17
9 + 8 =,17
8 + 10 =,18
10 + 8 =,18
8 + 11 =,19
11 + 8 =,19
8 + 12 =,20
12 + 8 =,20
8 + 13 =,21
13 + 8 =,21
8 + 14 =,22
14 + 8 =,22
8 + 15 =,23
15 + 8 =,23
8 + 16 =,24
16 + 8 =,24
8 + 17 =,25
17 + 8 =,25
8 + 18 =,26
18 + 8 =,26
8 + 19 =,27
19 + 8 =,27
8 + 20 =,28
20 + 8 =,28
9 + 0 =,9
0 + 9 =,9
9 + 1 =,10
1 + 9 =,10
9 + 2 =,11
2 + 9 =,11
9 + 3 =,12
3 + 9 =,12
9 + 4 =,13
4 + 9 =,13
9 + 5 =,14
5 + 9 =,14
9 + 6 =,15
6 + 9 =,15
9 + 7 =,16
7 + 9 =,16
9 + 8 =,17
8 + 9 =,17
9 + 9 =,18
9 + 9 =,18
9 + 10 =,19
10 + 9 =,19
9 + 11 =,20
11 + 9 =,20
9 + 12 =,21
12 + 9 =,21
9 + 13 =,22
13 + 9 =,22
9 + 14 =,23
14 + 9 =,23
9 + 15 =,24
15 + 9 =,24
9 + 16 =,25
16 + 9 =,25
9 + 17 =,26
17 + 9 =,26
9 + 18 =,27
18 + 9 =,27
9 + 19 =,28
19 + 9 =,28
9 + 20 =,29
20 + 9 =,29
10 + 0 =,10
0 + 10 =,10
10 + 1 =,11
1 + 10 =,11
10 + 2 =,12
2 + 10 =,12
10 + 3 =,13
3 + 10 =,13
10 + 4 =,14
4 + 10 =,14
10 + 5 =,15
5 + 10 =,15
10 + 6 =,16
6 + 10 =,16
10 + 7 =,17
7 + 10 =,17
10 + 8 =,18
8 + 10 =,18
10 + 9 =,19
9 + 10 =,19
10 + 10 =,20
10 + 10 =,20
10 + 11 =,21
11 + 10 =,21
10 + 12 =,22
12 + 10 =,22
10 + 13 =,23
13 + 10 =,23
10 + 14 =,24
14 + 10 =,24
10 + 15 =,25
15 + 10 =,25
10 + 16 =,26
16 + 10 =,26
10 + 17 =,27
17 + 10 =,27
10 + 18 =,28
18 + 10 =,28
10 + 19 =,29
19 + 10 =,29
10 + 20 =,30
20 + 10 =,30
11 + 0 =,11
0 + 11 =,11
11 + 1 =,12
1 + 11 =,12
11 + 2 =,13
2 + 11 =,13
11 + 3 =,14
3 + 11 =,14
11 + 4 =,15
4 + 11 =,15
11 + 5 =,16
5 + 11 =,16
11 + 6 =,17
6 + 11 =,17
11 + 7 =,18
7 + 11 =,18
11 + 8 =,19
8 + 11 =,19
11 + 9 =,20
9 + 11 =,20
11 + 10 =,21
10 + 11 =,21
11 + 11 =,22
11 + 11 =,22
11 + 12 =,23
12 + 11 =,23
11 + 13 =,24
13 + 11 =,24
11 + 14 =,25
14 + 11 =,25
11 + 15 =,26
15 + 11 =,26
11 + 16 =,27
16 + 11 =,27
11 + 17 =,28
17 + 11 =,28
11 + 18 =,29
18 + 11 =,29
11 + 19 =,30
19 + 11 =,30
11 + 20 =,31
20 + 11 =,31
12 + 0 =,12
0 + 12 =,12
12 + 1 =,13
1 + 12 =,13
12 + 2 =,14
2 + 12 =,14
12 + 3 =,15
3 + 12 =,15
12 + 4 =,16
4 + 12 =,16
12 + 5 =,17
5 + 12 =,17
12 + 6 =,18
6 + 12 =,18
12 + 7 =,19
7 + 12 =,19
12 + 8 =,20
8 + 12 =,20
12 + 9 =,21
9 + 12 =,21
12 + 10 =,22
10 + 12 =,22
12 + 11 =,23
11 + 12 =,23
12 + 12 =,24
12 + 12 =,24
12 + 13 =,25
13 + 12 =,25
12 + 14 =,26
14 + 12 =,26
12 + 15 =,27
15 + 12 =,27
12 + 16 =,28
16 + 12 =,28
12 + 17 =,29
17 + 12 =,29
12 + 18 =,30
18 + 12 =,30
12 + 19 =,31
19 + 12 =,31
12 + 20 =,32
20 + 12 =,32
13 + 0 =,13
0 + 13 =,13
13 + 1 =,14
1 + 13 =,14
13 + 2 =,15
2 + 13 =,15
13 + 3 =,16
3 + 13 =,16
13 + 4 =,17
4 + 13 =,17
13 + 5 =,18
5 + 13 =,18
13 + 6 =,19
6 + 13 =,19
13 + 7 =,20
7 + 13 =,20
13 + 8 =,21
8 + 13 =,21
13 + 9 =,22
9 + 13 =,22
13 + 10 =,23
10 + 13 =,23
13 + 11 =,24
11 + 13 =,24
13 + 12 =,25
12 + 13 =,25
13 + 13 =,26
13 + 13 =,26
13 + 14 =,27
14 + 13 =,27
13 + 15 =,28
15 + 13 =,28
13 + 16 =,29
16 + 13 =,29
13 + 17 =,30
17 + 13 =,30
13 + 18 =,31
18 + 13 =,31
13 + 19 =,32
19 + 13 =,32
13 + 20 =,33
20 + 13 =,33
14 + 0 =,14
0 + 14 =,14
14 + 1 =,15
1 + 14 =,15
14 + 2 =,16
2 + 14 =,16
14 + 3 =,17
3 + 14 =,17
14 + 4 =,18
4 + 14 =,18
14 + 5 =,19
5 + 14 =,19
14 + 6 =,20
6 + 14 =,20
14 + 7 =,21
7 + 14 =,21
14 + 8 =,22
8 + 14 =,22
14 + 9 =,23
9 + 14 =,23
14 + 10 =,24
10 + 14 =,24
14 + 11 =,25
11 + 14 =,25
14 + 12 =,26
12 + 14 =,26
14 + 13 =,27
13 + 14 =,27
14 + 14 =,28
14 + 14 =,28
14 + 15 =,29
15 + 14 =,29
14 + 16 =,30
16 + 14 =,30
14 + 17 =,31
17 + 14 =,31
14 + 18 =,32
18 + 14 =,32
14 + 19 =,33
19 + 14 =,33
14 + 20 =,34
20 + 14 =,34
15 + 0 =,15
0 + 15 =,15
15 + 1 =,16
1 + 15 =,16
15 + 2 =,17
2 + 15 =,17
15 + 3 =,18
3 + 15 =,18
15 + 4 =,19
4 + 15 =,19
15 + 5 =,20
5 + 15 =,20
15 + 6 =,21
6 + 15 =,21
15 + 7 =,22
7 + 15 =,22
15 + 8 =,23
8 + 15 =,23
15 + 9 =,24
9 + 15 =,24
15 + 10 =,25
10 + 15 =,25
15 + 11 =,26
11 + 15 =,26
15 + 12 =,27
12 + 15 =,27
15 + 13 =,28
13 + 15 =,28
15 + 14 =,29
14 + 15 =,29
15 + 15 =,30
15 + 15 =,30
15 + 16 =,31
16 + 15 =,31
15 + 17 =,32
17 + 15 =,32
15 + 18 =,33
18 + 15 =,33
15 + 19 =,34
19 + 15 =,34
15 + 20 =,35
20 + 15 =,35
16 + 0 =,16
0 + 16 =,16
16 + 1 =,17
1 + 16 =,17
16 + 2 =,18
2 + 16 =,18
16 + 3 =,19
3 + 16 =,19
16 + 4 =,20
4 + 16 =,20
16 + 5 =,21
5 + 16 =,21
16 + 6 =,22
6 + 16 =,22
16 + 7 =,23
7 + 16 =,23
16 + 8 =,24
8 + 16 =,24
16 + 9 =,25
9 + 16 =,25
16 + 10 =,26
10 + 16 =,26
16 + 11 =,27
11 + 16 =,27
16 + 12 =,28
12 + 16 =,28
16 + 13 =,29
13 + 16 =,29
16 + 14 =,30
14 + 16 =,30
16 + 15 =,31
15 + 16 =,31
16 + 16 =,32
16 + 16 =,32
16 + 17 =,33
17 + 16 =,33
16 + 18 =,34
18 + 16 =,34
16 + 19 =,35
19 + 16 =,35
16 + 20 =,36
20 + 16 =,36
17 + 0 =,17
0 + 17 =,17
17 + 1 =,18
1 + 17 =,18
17 + 2 =,19
2 + 17 =,19
17 + 3 =,20
3 + 17 =,20
17 + 4 =,21
4 + 17 =,21
17 + 5 =,22
5 + 17 =,22
17 + 6 =,23
6 + 17 =,23
17 + 7 =,24
7 + 17 =,24
17 + 8 =,25
8 + 17 =,25
17 + 9 =,26
9 + 17 =,26
17 + 10 =,27
10 + 17 =,27
17 + 11 =,28
11 + 17 =,28
17 + 12 =,29
12 + 17 =,29
17 + 13 =,30
13 + 17 =,30
17 + 14 =,31
14 + 17 =,31
17 + 15 =,32
15 + 17 =,32
17 + 16 =,33
16 + 17 =,33
17 + 17 =,34
17 + 17 =,34
17 + 18 =,35
18 + 17 =,35
17 + 19 =,36
19 + 17 =,36
17 + 20 =,37
20 + 17 =,37
18 + 0 =,18
0 + 18 =,18
18 + 1 =,19
1 + 18 =,19
18 + 2 =,20
2 + 18 =,20
18 + 3 =,21
3 + 18 =,21
18 + 4 =,22
4 + 18 =,22
18 + 5 =,23
5 + 18 =,23
18 + 6 =,24
6 + 18 =,24
18 + 7 =,25
7 + 18 =,25
18 + 8 =,26
8 + 18 =,26
18 + 9 =,27
9 + 18 =,27
18 + 10 =,28
10 + 18 =,28
18 + 11 =,29
11 + 18 =,29
18 + 12 =,30
12 + 18 =,30
18 + 13 =,31
13 + 18 =,31
18 + 14 =,32
14 + 18 =,32
18 + 15 =,33
15 + 18 =,33
18 + 16 =,34
16 + 18 =,34
18 + 17 =,35
17 + 18 =,35
18 + 18 =,36
18 + 18 =,36
18 + 19 =,37
19 + 18 =,37
18 + 20 =,38
20 + 18 =,38
19 + 0 =,19
0 + 19 =,19
19 + 1 =,20
1 + 19 =,20
19 + 2 =,21
2 + 19 =,21
19 + 3 =,22
3 + 19 =,22
19 + 4 =,23
4 + 19 =,23
19 + 5 =,24
5 + 19 =,24
19 + 6 =,25
6 + 19 =,25
19 + 7 =,26
7 + 19 =,26
19 + 8 =,27
8 + 19 =,27
19 + 9 =,28
9 + 19 =,28
19 + 10 =,29
10 + 19 =,29
19 + 11 =,30
11 + 19 =,30
19 + 12 =,31
12 + 19 =,31
19 + 13 =,32
13 + 19 =,32
19 + 14 =,33
14 + 19 =,33
19 + 15 =,34
15 + 19 =,34
19 + 16 =,35
16 + 19 =,35
19 + 17 =,36
17 + 19 =,36
19 + 18 =,37
18 + 19 =,37
19 + 19 =,38
19 + 19 =,38
19 + 20 =,39
20 + 19 =,39
20 + 0 =,20
0 + 20 =,20
20 + 1 =,21
1 + 20 =,21
20 + 2 =,22
2 + 20 =,22
20 + 3 =,23
3 + 20 =,23
20 + 4 =,24
4 + 20 =,24
20 + 5 =,25
5 + 20 =,25
20 + 6 =,26
6 + 20 =,26
20 + 7 =,27
7 + 20 =,27
20 + 8 =,28
8 + 20 =,28
20 + 9 =,29
9 + 20 =,29
20 + 10 =,30
10 + 20 =,30
20 + 11 =,31
11 + 20 =,31
20 + 12 =,32
12 + 20 =,32
20 + 13 =,33
13 + 20 =,33
20 + 14 =,34
14 + 20 =,34
20 + 15 =,35
15 + 20 =,35
20 + 16 =,36
16 + 20 =,36
20 + 17 =,37
17 + 20 =,37
20 + 18 =,38
18 + 20 =,38
20 + 19 =,39
19 + 20 =,39
20 + 20 =,40
20 + 20 =,40
